fecha,titulo,categoria,enlace
2023-01-18,"“Yo no fui”, asegura liderato legislativo ante críticas por aprobación de nueva APP para eliminar la AEE",Gobierno,https://jayfonseca.com/yo-no-fui-asegura-liderato-legislativo-ante-criticas-por-aprobacion-de-nueva-app-para-eliminar-la-aee/
2023-01-18,Compañía que sustituirá a AEE no invertirá de su dinero durante la duración del contrato de APP,Gobierno,https://jayfonseca.com/compania-que-sustituira-a-aee-no-invertira-de-su-dinero-durante-la-duracion-del-contrato-de-app/
2023-01-18,New Fortress dice que está en cumplimiento pero en AEE aseguran que deben $35 millones,Gobierno,https://jayfonseca.com/new-fortress-dice-que-esta-en-cumplimiento-pero-en-aee-aseguran-que-deben-35-millones/
2023-01-18,"“Yo no fui”, asegura liderato legislativo ante críticas por aprobación de nueva APP para eliminar la AEE",Legislatura,https://jayfonseca.com/yo-no-fui-asegura-liderato-legislativo-ante-criticas-por-aprobacion-de-nueva-app-para-eliminar-la-aee/
2023-01-18,Junta AEE debe votar el 25 de enero por el contrato de APP de generación de energía,Puerto Rico,https://jayfonseca.com/junta-aee-debe-votar-el-25-de-enero-por-el-contrato-de-app-de-generacion-de-energia/
2023-01-18,"“Yo no fui”, asegura liderato legislativo ante críticas por aprobación de nueva APP para eliminar la AEE",Puerto Rico,https://jayfonseca.com/yo-no-fui-asegura-liderato-legislativo-ante-criticas-por-aprobacion-de-nueva-app-para-eliminar-la-aee/
2023-01-18,Preocupa las muertes por fentanilos en las cárceles,Puerto Rico,https://jayfonseca.com/preocupa-las-muertes-por-fentanilos-en-las-carceles/
2023-01-17,Sector de la construcción urge acción legislativa para nuevos topes de vivienda de interés social,Puerto Rico,https://jayfonseca.com/sector-de-la-construccion-urge-accion-legislativa-para-nuevos-topes-de-vivienda-de-interes-social/
2023-01-17,Gobierno vende a precio de quemazón seis propiedades en Puerta de Tierra,Legislatura,https://jayfonseca.com/gobierno-vende-a-precio-de-quemazon-seis-propiedades-en-puerta-de-tierra/
2023-01-17,Hacienda asegura nueva tecnología para fiscalizar créditos contributivos generará $60 millones en ahorros,Economia,https://jayfonseca.com/hacienda-asegura-nueva-tecnologia-para-fiscalizar-creditos-contributivos-generara-60-millones-en-ahorros/
2023-01-17,Varios alcaldes denuncian atrasos en reembolsos por daños de Fiona,Gobierno,https://jayfonseca.com/varios-alcaldes-denuncian-atrasos-en-reembolsos-por-danos-de-fiona/
2023-01-17,Buscan sumar 50 mil beneficiarios al plan de salud público ,Salud,https://jayfonseca.com/buscan-sumar-50-mil-beneficiarios-al-plan-de-salud-publico/
2023-01-17,Hacienda asegura nueva tecnología para fiscalizar créditos contributivos generará $60 millones en ahorros,Gobierno,https://jayfonseca.com/hacienda-asegura-nueva-tecnologia-para-fiscalizar-creditos-contributivos-generara-60-millones-en-ahorros/
2023-01-17,Deuda de compañía subsidiaria a cargo de APP de generación de energía pudiera pasar nuevo aumento a los clientes ,Gobierno,https://jayfonseca.com/deuda-de-compania-subsidiaria-a-cargo-de-app-de-generacion-de-energia-pudiera-pasar-nuevo-aumento-a-los-clientes/
2023-01-17,Buscan sumar 50 mil beneficiarios al plan de salud público ,Gobierno,https://jayfonseca.com/buscan-sumar-50-mil-beneficiarios-al-plan-de-salud-publico/
2023-01-17,Contralora auditará fallas en construcción del puente atirantado de Naranjito ,Gobierno,https://jayfonseca.com/contralora-auditara-fallas-en-construccion-del-puente-atirantado-de-naranjito/
